id,name,title,content,open_hour,regular_holiday,telephone,address,nearest_station,capacity,private_room,wifi,power_supply,genre_id,area_id
62,メディアカフェポパイ 高槻店,阪急高槻市駅・JR高槻駅から徒歩4分！,"【お店の特徴】
・地域NO1ネットカフェ！
・ダーツ・ビリヤードあり！ 時間内遊び放題！移動もOK
・麻雀格闘倶楽部は、フリープレイ！
・MS Office　2013（ﾜｰﾄﾞ・ｴｸｾﾙ・ﾊﾟﾜｰﾎﾟｲﾝﾄ）席あり！
・コピー・プリントアウト可能、スキャンしUSBに保存可能！
・飲食持込可能！
・途中外出OK！
・「PayNetCafe」取扱店！",24時間営業,無,072-686-5210,大阪府高槻市高槻町１８−１ セントラルマーケット 2F,高槻市駅,,有,有,有,4,7
63,亜熱帯 高槻駅前店,阪急京都線 高槻市駅 南口から徒歩2分！アクセス抜群！,"大人気のインターネットカフェ亜熱帯がついに大阪に誕生！
阪急京都線 高槻市駅 南口から徒歩2分とアクセス抜群で、高速回線・高性能パソコン・こだわりの個室、アジアンリゾートの店内！
話題のコミックも充実・コンテンツ色々満載で１日中楽しめるお店です。
スタッフ一同皆様のご来店を心よりお待ち致しております。",24時間営業,無,072-671-1115,大阪府高槻市城北町５ 2-5-17,高槻市駅,,有,有,有,4,7
64,メディアカフェポパイ 大阪江坂店,駅から一番近いインターネットカフェ。,駅直結だから雨の日でも傘要らず。駅から一番近いインターネットカフェ。,24時間営業,無,06-6192-1170,大阪府吹田市豊津町９ ９番15号 日本興業ビル6F,江坂駅,,有,有,有,4,9
65,マクドナルド ＪＲ大阪駅桜橋口店,格安かつ好立地,みんなが知っているマクドナルド,6:00~23:00,年中無休,06-6344-3095,大阪府大阪市北区梅田３丁目１−１,大阪梅田駅,145席,無,無,有,5,1
66,シェイクシャック 梅田阪神,駅チカかつ店の雰囲気よし,ニューヨークからやってきたハンバーガーショップ,10:00~22:00,無休,06-6147-8340,大阪府大阪市北区梅田１丁目１３−１３,梅田駅,136席,無,有,有,5,1
67,サイゼリヤ 大阪駅前第3ビル店,広いスペースで作業が可能,ドリンクバーもあって作業環境に適しているファミレス,10:00~23:00,無休,06-4796-5507,大阪府大阪市北区梅田１丁目１−３ 大阪駅前第3ビル B2F,東梅田駅,席,無,無,無,5,1
68,サイゼリヤ 心斎橋GATE 店,広いスペースで作業が可能,ドリンクバーもあって作業環境に適しているファミレス,11:00~24:00,無休,06-6214-3660,大阪府大阪市中央区心斎橋筋2−５ 5ShinsaibashiGate6F,難波駅,156席,無,無,無,5,2
69,マクドナルド なんばパークス前店,格安かつ好立地,みんなが知っているマクドナルド,24時間営業,無休,06-6633-9677,大阪府大阪市浪速区難波中２丁目８−１０２,南海なんば駅,126席,無,有,有,5,2
70,シェイクシャック 大丸心斎橋,駅チカかつ店の雰囲気よし,ニューヨークからやってきたハンバーガーショップ,10:00~22:00,無休,06-6484-8474,大阪府大阪市中央区心斎橋筋１丁目７−１ 大丸心斎橋 本店 1F,心斎橋駅,110席,無,有,有,5,2
71,サイゼリヤ あべのキューズタウン店,広いスペースで作業が可能,ドリンクバーもあって作業環境に適しているファミレス,10:00~24:00,無休,06-6633-6612,大阪府大阪市阿倍野区阿倍野筋１丁目６−１ ｳﾞｨｱあべのｳｫｰｸB1F,阿倍野駅,席,無,無,無,5,3
72,ロイヤルホスト文の里店,駅チカかつ店の雰囲気よし,ドリンクバーもあって作業環境に適しているファミレス,9:00～24:00,不定休,06-6624-2811,大阪府大阪市阿倍野区松崎町４丁目１１−８,文の里駅,70席,無,無,無,5,3
73,モスバーガー ニッセイ新大阪ビル店,全面禁煙で快適空間の大型店舗です。,,07:00～23:00,無休,06-6885-5777,大阪府大阪市淀川区宮原３丁目４−３０,西中島南方駅,席,無,有,有,5,4
74,ロイヤルホスト三国店,駅チカかつ店の雰囲気よし,ドリンクバーもあって作業環境に適しているファミレス,9:00～24:00,不定休,06-6393-8231,大阪府大阪市淀川区三国本町１丁目１６−５３,三国駅,50席,無,無,無,5,4
75,マクドナルド 高槻センター街店,格安かつ好立地,みんなが知っているマクドナルド,24時間営業,年中無休,072-681-2248,大阪府高槻市高槻町１８−３,ＪＲ高槻駅,133席,無,有,有,5,7
76,ケンタッキーフライドチキン京橋店,格安かつ好立地,駅チカにあるファストフード店,10:00～23:00,無休,06-4801-2233,大阪府大阪市都島区東野田町２丁目１−３８ 京阪モール 西館,京橋駅,45席,無,無,無,5,8
77,ココス 吹田江坂店,広いスペースで作業が可能,ドリンクバーもあって作業環境に適しているファミレス,10:00~26:00,無休,050-5457-8206,大阪府吹田市豊津町５６−４,江坂駅,席,無,無,無,5,9
78,大阪市立浪速図書館,大阪市内にある図書館,大阪市立浪速図書館（おおさかしりつなにわとしょかん）は、大阪府大阪市にある公立の図書館。 大阪市立図書館のうち浪速区にある地域図書館（分館）。,10:00~19:00,月曜日、第3木曜日,06-6632-4946,大阪府大阪市浪速区敷津西１丁目５−２３,大国町,38席,無,無,無,6,2
79,大阪市立淀川図書館,大阪市内にある図書館,大阪市立淀川図書館（おおさかしりつよどがわとしょかん）は、大阪府大阪市淀川区にある大阪市立図書館の分館。,10:00~19:00,月曜日、第3木曜日,06-6305-2346,大阪府大阪市淀川区新北野１丁目１０−１４,十三駅,7席,無,無,無,6,4
80,大阪市立中央図書館,大阪市内にある図書館,大阪市立中央図書館（おおさかしりつちゅうおうとしょかん）は、大阪府大阪市西区にある公共図書館。24館からなる大阪市立図書館の中央館である。2019年10月1日より辰巳商会中央図書館（たつみしょうかいちゅうおうとしょかん）という愛称が付けられている。,9:15~20:30,第1・3木曜日,06-6539-3300,大阪府大阪市西区北堀江４丁目３−２,西長堀駅,755席,無,無,無,6,5
81,堺市立中央図書館,堺市にある図書館,堺市立中央図書館（さかいしりつちゅうおうとしょかん）は、大阪府堺市堺区の大仙公園内にある堺市立の公共図書館。蔵書は約59万8千冊（2013年3月末現在）。,,月曜日,072-244-3811,大阪府堺市堺区大仙中町１８−１,百舌鳥駅,,無,無,無,6,6
82,大阪府立中之島図書館,大阪市内にある図書館,,9:00~20:00,日曜日,06-6203-0474,大阪府大阪市北区中之島１丁目２−１０,なにわ橋駅,,無,無,無,6,10
83,フリースペース・類,世代を超えた人々が集う場,フリースペース・類は、地域の方々の社会活動の溜まり場を目指した類グループの社会貢献事業です。,10:00~22:00,無,06-6305-2222,大阪府大阪市淀川区西中島４丁目３−２ 類ビル２F,西中島南方駅,,無,無,無,7,4
